date,strategy_id,return,benchmark,exposure
2023-01-02,alpha_demo,0.0068,0.0004,0.65
2023-01-03,alpha_demo,0.00668,0.001229,0.6611
2023-01-04,alpha_demo,0.006326,0.002036,0.672
2023-01-05,alpha_demo,0.005752,0.002797,0.6827
2023-01-06,alpha_demo,0.00498,0.003492,0.693
2023-01-09,alpha_demo,0.004042,0.004101,0.7027
2023-01-10,alpha_demo,0.002974,0.004607,0.7118
2023-01-11,alpha_demo,0.00182,0.004997,0.7202
2023-01-12,alpha_demo,0.000625,0.00526,0.7276
2023-01-13,alpha_demo,-0.000563,0.005387,0.7341
2023-01-16,alpha_demo,-0.001697,0.005377,0.7396
2023-01-17,alpha_demo,-0.002731,0.005229,0.744
2023-01-18,alpha_demo,-0.003624,0.004946,0.7472
2023-01-19,alpha_demo,-0.004341,0.004538,0.7492
2023-01-20,alpha_demo,-0.004853,0.004015,0.75
2023-01-23,alpha_demo,-0.00514,0.003392,0.7495
2023-01-24,alpha_demo,-0.00519,0.002686,0.7479
2023-01-25,alpha_demo,-0.005001,0.001917,0.745
2023-01-26,alpha_demo,-0.004581,0.001106,0.7409
2023-01-27,alpha_demo,-0.003946,0.000275,0.7358
2023-01-30,alpha_demo,-0.003122,-0.000553,0.7295
2023-01-31,alpha_demo,-0.002142,-0.001354,0.7223
2023-02-01,alpha_demo,-0.001044,-0.002106,0.7142
2023-02-02,alpha_demo,0.000127,-0.002789,0.7053
2023-02-03,alpha_demo,0.001325,-0.003384,0.6957
2023-02-06,alpha_demo,0.002502,-0.003874,0.6856
2023-02-07,alpha_demo,0.003611,-0.004245,0.675
2023-02-08,alpha_demo,0.004608,-0.004488,0.6641
2023-02-09,alpha_demo,0.005453,-0.004595,0.653
2023-02-10,alpha_demo,0.006113,-0.004563,0.6419
2023-02-13,alpha_demo,0.006561,-0.004395,0.6309
2023-02-14,alpha_demo,0.006779,-0.004093,0.6202
2023-02-15,alpha_demo,0.006759,-0.003667,0.6098
2023-02-16,alpha_demo,0.006501,-0.003128,0.5999
2023-02-17,alpha_demo,0.006016,-0.002491,0.5906
2023-02-20,alpha_demo,0.005323,-0.001774,0.582
2023-02-21,alpha_demo,0.00445,-0.000997,0.5743
2023-02-22,alpha_demo,0.003431,-0.000181,0.5675
2023-02-23,alpha_demo,0.002308,0.000651,0.5618
2023-02-24,alpha_demo,0.001124,0.001476,0.5571
2023-02-27,alpha_demo,-7.3e-05,0.002271,0.5536
2023-02-28,alpha_demo,-0.001235,0.003014,0.5512
2023-03-01,alpha_demo,-0.002316,0.003685,0.5501
2023-03-02,alpha_demo,-0.003272,0.004265,0.5502
2023-03-03,alpha_demo,-0.004067,0.004737,0.5516
2023-03-06,alpha_demo,-0.004667,0.00509,0.5541
2023-03-07,alpha_demo,-0.005049,0.005313,0.5578
2023-03-08,alpha_demo,-0.005198,0.005399,0.5627
2023-03-09,alpha_demo,-0.005108,0.005347,0.5687
2023-03-10,alpha_demo,-0.004783,0.005158,0.5756
2023-03-13,alpha_demo,-0.004234,0.004836,0.5835
2023-03-14,alpha_demo,-0.003486,0.004392,0.5922
2023-03-15,alpha_demo,-0.002566,0.003838,0.6016
2023-03-16,alpha_demo,-0.001512,0.003188,0.6116
2023-03-17,alpha_demo,-0.000366,0.002461,0.6221
2023-03-20,alpha_demo,-0.017173,0.001676,0.6329
2023-03-21,alpha_demo,-0.015982,0.000857,0.6439
2023-03-22,alpha_demo,-0.014839,2.4e-05,0.655
2023-03-23,alpha_demo,-0.01379,-0.000798,0.6661
2023-03-24,alpha_demo,-0.012877,-0.001586,0.6769
2023-03-27,alpha_demo,-0.012137,-0.00232,0.6874
2023-03-28,alpha_demo,-0.011598,-0.002978,0.6975
2023-03-29,alpha_demo,-0.011283,-0.003543,0.7069
2023-03-30,alpha_demo,0.006797,-0.003998,0.7157
2023-03-31,alpha_demo,0.006637,-0.004332,0.7237
2023-04-03,alpha_demo,0.006245,-0.004534,0.7307
2023-04-04,alpha_demo,0.005635,-0.0046,0.7367
2023-04-05,alpha_demo,0.004833,-0.004527,0.7417
2023-04-06,alpha_demo,0.00387,-0.004317,0.7456
2023-04-07,alpha_demo,0.002785,-0.003977,0.7483
2023-04-10,alpha_demo,0.00162,-0.003516,0.7497
2023-04-11,alpha_demo,0.000423,-0.002946,0.7499
2023-04-12,alpha_demo,-0.000759,-0.002283,0.7489
2023-04-13,alpha_demo,-0.001879,-0.001546,0.7467
2023-04-14,alpha_demo,-0.002892,-0.000755,0.7433
2023-04-17,alpha_demo,-0.003758,6.8e-05,0.7387
2023-04-18,alpha_demo,-0.004442,0.000901,0.7331
2023-04-19,alpha_demo,-0.004918,0.001719,0.7264
2023-04-20,alpha_demo,-0.005165,0.002501,0.7188
2023-04-21,alpha_demo,-0.005175,0.003224,0.7103
2023-04-24,alpha_demo,-0.004946,0.00387,0.7011
2023-04-25,alpha_demo,-0.004488,0.004419,0.6912
2023-04-26,alpha_demo,-0.00382,0.004857,0.6809
2023-04-27,alpha_demo,-0.002967,0.005171,0.6701
2023-04-28,alpha_demo,-0.001964,0.005353,0.6591
2023-05-01,alpha_demo,-0.000851,0.005398,0.648
2023-05-02,alpha_demo,0.000328,0.005304,0.637
2023-05-03,alpha_demo,0.001526,0.005074,0.626
2023-05-04,alpha_demo,0.002694,0.004715,0.6154
2023-05-05,alpha_demo,0.003788,0.004237,0.6052
